Company Name,Email,Phone,City,Instagram Handle,Business Type,Source,Date Added,Status,S3 URL
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2019-11-02_03-40-31_UTC_profile_pic.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2022-07-10_15-38-49_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-05_12-13-50_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-05_12-17-03_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-05_12-20-43_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-05_12-23-21_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-05_12-26-52_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-05_12-29-17_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-06_11-44-22_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-06_11-57-12_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-07_05-52-50_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-07_05-57-31_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-07_06-01-07_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-07_11-54-44_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-07_11-59-27_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-08_06-10-53_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-08_06-14-07_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-08_06-28-50_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-08_14-00-26_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-08_14-08-10_UTC_1.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-08_14-08-10_UTC_2.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-09_04-31-06_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-09_04-35-25_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-09_04-39-32_UTC.jpg"
"","","","","@archi_jobs","Architecture","Instagram OCR","2025-12-31","New","s3://structcrew-images/archi_jobs/2025-10-09_04-47-23_UTC.jpg"
